orig_hname,new_hname,hclass,horder,hfamily,genus,spp,subspp
Amanses scopas,Amanses scopas,Actinopterygii,Tetraodontiformes,Monacanthidae,Amanses,scopas,NA
Amatitlania kanna,Amatitlania kanna,Actinopterygii,Perciformes,Cichlidae,Amatitlania,kanna,NA
Amatitlania nigrofasciata,Amatitlania nigrofasciata,Actinopterygii,Perciformes,Cichlidae,Amatitlania,nigrofasciata,NA
Ambassis agassizii,Ambassis agassizii,Actinopterygii,Perciformes,Ambassidae,Ambassis,agassizii,NA
Ambassis buruensis,Ambassis buruensis,Actinopterygii,Perciformes,Ambassidae,Ambassis,buruensis,NA
Ambassis marianus,Ambassis marianus,Actinopterygii,Perciformes,Ambassidae,Ambassis,marianus,NA
Ambassis miops,Ambassis miops,Actinopterygii,Perciformes,Ambassidae,Ambassis,miops,NA
Ambiserrula jugosa,Ambiserrula jugosa,Actinopterygii,Scorpaeniformes,Platycephalidae,Ambiserrula,jugosa,NA
Ambloplites cavifrons,Ambloplites cavifrons,Actinopterygii,Perciformes,Centrarchidae,Ambloplites,cavifrons,NA
Ambloplites rupestris,Ambloplites rupestris,Actinopterygii,Perciformes,Centrarchidae,Ambloplites,rupestris,NA
Amblygaster clupeoides,Amblygaster clupeoides,Actinopterygii,Clupeiformes,Clupeidae,Amblygaster,clupeoides,NA
Amblygaster leiogaster,Amblygaster leiogaster,Actinopterygii,Clupeiformes,Clupeidae,Amblygaster,leiogaster,NA
Amblygaster sirm,Amblygaster sirm,Actinopterygii,Clupeiformes,Clupeidae,Amblygaster,sirm,NA
Amblyglyphidodon curacao,Amblyglyphidodon curacao,Actinopterygii,Perciformes,Pomacentridae,Amblyglyphidodon,curacao,NA
Amblyraja georgiana,Amblyraja georgiana,Chondrichthyes,Rajiformes,Rajidae,Amblyraja,georgiana,NA
Amblyraja hyperborea,Amblyraja hyperborea,Chondrichthyes,Rajiformes,Rajidae,Amblyraja,hyperborea,NA
Amblyraja jenseni,Amblyraja jenseni,Chondrichthyes,Rajiformes,Rajidae,Amblyraja,jenseni,NA
Amblyraja radiata,Amblyraja radiata,Chondrichthyes,Rajiformes,Rajidae,Amblyraja,radiata,NA
Ameca splendens,Ameca splendens,Actinopterygii,Cyprinodontiformes,Goodeidae,Ameca,splendens,NA
Ameiuras neblosus,Ameiurus nebulosus,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,nebulosus,NA
Ameiurus catus,Ameiurus catus,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,catus,NA
Ameiurus melas,Ameiurus melas,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,melas,NA
Ameiurus natalis,Ameiurus natalis,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,natalis,NA
Ameiurus nebulosus,Ameiurus nebulosus,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,nebulosus,NA
Ameiurus platycephalus,Ameiurus platycephalus,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,platycephalus,NA
Ameiurus serracanthus,Ameiurus serracanthus,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,serracanthus,NA
Amia calva,Amia calva,Actinopterygii,Amiiformes,Amiidae,Amia,calva,NA
Ammocrypta beanii,Ammocrypta beanii,Actinopterygii,Perciformes,Percidae,Ammocrypta,beanii,NA
Ammocrypta pellucida,Ammocrypta pellucida,Actinopterygii,Perciformes,Percidae,Ammocrypta,pellucida,NA
Ammocrypta vivax,Ammocrypta vivax,Actinopterygii,Perciformes,Percidae,Ammocrypta,vivax,NA
Ammodytes americanus,Ammodytes americanus,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,americanus,NA
Ammodytes dubius,Ammodytes dubius,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,dubius,NA
Ammodytes hexapterus,Ammodytes hexapterus,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,hexapterus,NA
Ammodytes tobianus,Ammodytes tobianus,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,tobianus,NA
Amphilius atesuensis,Amphilius atesuensis,Actinopterygii,Siluriformes,Amphiliidae,Amphilius,atesuensis,NA
Amphilophus alfari,Amphilophus alfari,Actinopterygii,Perciformes,Cichlidae,Amphilophus,alfari,NA
Amphilophus citrinellus,Amphilophus citrinellus,Actinopterygii,Perciformes,Cichlidae,Amphilophus,citrinellus,NA
Amphilophus macracanthus,Amphilophus macracanthus,Actinopterygii,Perciformes,Cichlidae,Amphilophus,macracanthus,NA
Amphilophus nourissati,Amphilophus nourissati,Actinopterygii,Perciformes,Cichlidae,Amphilophus,nourissati,NA
Amphilophus robertsoni,Amphilophus robertsoni,Actinopterygii,Perciformes,Cichlidae,Amphilophus,robertsoni,NA
